task,n_vars,topology,logical_interactions,logical_cx_floor,compiled_cx,compiled_depth,compiled_size,physical_width,routing_cx_overhead,transpile_s,optimization_level
channel,6,line16,15,30,49,69,168,16,19,0.030038833967410028,3
channel,6,grid4x4,15,30,43,70,120,16,13,0.004422458936460316,3
channel,12,line16,66,132,244,182,678,16,112,0.013070833054371178,3
channel,12,grid4x4,66,132,215,202,461,16,83,0.009625082951970398,3
channel,16,line16,120,240,446,247,1004,16,206,0.01776841701939702,3
channel,16,grid4x4,120,240,360,259,931,16,120,0.015514082973822951,3
placement,6,line16,15,30,49,69,168,16,19,0.004509959020651877,3
placement,6,grid4x4,15,30,43,70,120,16,13,0.003987459000200033,3
placement,12,line16,54,108,277,186,575,16,169,0.009395041968673468,3
placement,12,grid4x4,54,108,186,196,358,16,78,0.00767212500795722,3
placement,16,line16,84,168,480,304,944,16,312,0.01438649999909103,3
placement,16,grid4x4,84,168,278,254,629,16,110,0.010918417014181614,3
routing,6,line16,9,18,28,54,103,16,10,0.007307624910026789,3
routing,6,grid4x4,9,18,24,54,93,16,6,0.004030084004625678,3
routing,12,line16,50,100,234,194,609,16,134,0.01027604192495346,3
routing,12,grid4x4,50,100,162,158,374,16,62,0.008618750027380884,3
routing,16,line16,97,194,464,274,1109,16,270,0.016576291993260384,3
routing,16,grid4x4,97,194,336,242,719,16,142,0.013021541992202401,3
