experiment,task,size_label,n_vars,seed,algorithm,profile,solution,cost,optimum,feasible,construction_s,solver_s,complete_local_s,cost_vector_bytes,evals,success_prob,classical_seed_s,delay_s,gap,staleness_loss,deadline_miss,utility,timing_evidence,timestamp,next_timestamp,next_cochannel_load,next_mean_prb,next_total_traffic_kbyte
netdata_5g,netdata_channel,12,12,8,task_specific,local,2841,1.4375,1.2625,True,0.0,0.00010854203719645739,0.00010854203719645739,36864,48,,,0.00010854203719645739,0.07734806629834255,0.0,False,-0.07734806629834255,measured_local,04:00,04:30,1.4375,0.0,0.0
netdata_5g,netdata_channel,12,12,8,milp,local,2962,1.2625000000000002,1.2625,True,0.0,0.23306987492833287,0.23306987492833287,36864,118,,,0.23306987492833287,9.81412618453177e-17,0.0,False,-9.81412618453177e-17,measured_local,04:00,04:30,1.2625000000000002,0.0,0.0
netdata_5g,netdata_channel,12,12,8,qaoa,nominal,909,1.2625,1.2625,True,0.0,0.020982249989174306,0.020982249989174306,36864,119,0.009350773870310292,,9.5678,0.0,0.0,False,-0.0,modeled_qpu,04:00,04:30,1.2625000000000002,0.0,0.0
netdata_5g,netdata_channel,12,12,8,qaoa_warm,nominal,813,1.2625000000000002,1.2625,True,0.0,0.024518541991710663,0.024518541991710663,36864,105,0.004722086991003922,0.00011012505274266005,8.501000000000001,9.81412618453177e-17,0.0,False,-9.81412618453177e-17,modeled_qpu,04:00,04:30,1.2625000000000002,0.0,0.0
netdata_5g,netdata_channel,12,12,9,task_specific,local,2841,1.4375,1.2625,True,0.0,8.966703899204731e-05,8.966703899204731e-05,36864,48,,,8.966703899204731e-05,0.07734806629834255,3.227598278533184e-09,False,-0.07734806952594082,measured_local,04:30,05:00,2.11999,0.06479166666666665,9195141.040000001
netdata_5g,netdata_channel,12,12,9,milp,local,2962,1.2625000000000002,1.2625,True,0.0,0.23382287507411093,0.23382287507411093,36864,118,,,0.23382287507411093,9.81412618453177e-17,8.416540989357463e-06,False,-8.416540989455604e-06,measured_local,04:30,05:00,1.9306900000000002,0.06479166666666665,9195141.040000001
netdata_5g,netdata_channel,12,12,9,qaoa,nominal,909,1.2625,1.2625,True,0.0,0.02111916709691286,0.02111916709691286,36864,119,0.009350773870310292,,9.5678,0.0,0.00034439650462962955,False,-0.00034439650462962955,modeled_qpu,04:30,05:00,1.94444,0.06479166666666665,9195141.040000001
netdata_5g,netdata_channel,12,12,9,qaoa_warm,nominal,2962,1.2625000000000002,1.2625,True,0.0,0.02458466705866158,0.02458466705866158,36864,105,0.004722086991003922,0.0001015000743791461,8.501000000000001,9.81412618453177e-17,0.0003059966435185185,False,-0.0003059966435186166,modeled_qpu,04:30,05:00,1.9306900000000002,0.06479166666666665,9195141.040000001
netdata_5g,netdata_channel,12,12,10,task_specific,local,1206,2.19489,1.9072650000000002,True,0.0,0.0001039999770000577,0.0001039999770000577,36864,48,,,0.0001039999770000577,0.09893318978490086,2.166666187501204e-10,False,-0.09893319000156747,measured_local,05:00,05:30,2.205475,0.06655833333333334,11000528.16
netdata_5g,netdata_channel,12,12,10,milp,local,813,1.9072650000000002,1.9072650000000002,True,0.0,0.18357379094231874,0.18357379094231874,36864,82,,,0.18357379094231874,0.0,3.824453977964977e-07,False,-3.824453977964977e-07,measured_local,05:00,05:30,1.92442,0.06655833333333334,11000528.16
netdata_5g,netdata_channel,12,12,10,qaoa,nominal,3282,1.9072650000000002,1.9072650000000002,True,0.0,0.019198167021386325,0.019198167021386325,36864,109,0.0021612251354394276,,8.8058,0.0,1.8345416666666683e-05,False,-1.8345416666666683e-05,modeled_qpu,05:00,05:30,1.92442,0.06655833333333334,11000528.16
