task,size_label,seed,shots,replicate,feasible,optimal,gap
channel,6,0,64,0,True,True,0.0
channel,6,0,64,1,True,True,0.0
channel,6,0,64,2,True,True,0.0
channel,6,0,64,3,True,True,0.0
channel,6,0,64,4,True,True,0.0
channel,6,0,64,5,True,True,0.0
channel,6,0,64,6,True,True,0.0
channel,6,0,64,7,True,True,0.0
channel,6,0,64,8,True,True,0.0
channel,6,0,64,9,True,True,0.0
channel,6,0,64,10,True,True,0.0
channel,6,0,64,11,True,True,0.0
channel,6,0,64,12,True,True,0.0
channel,6,0,64,13,True,True,0.0
channel,6,0,64,14,True,True,0.0
channel,6,0,64,15,True,False,0.06028836777738014
channel,6,0,64,16,True,True,0.0
channel,6,0,64,17,True,True,0.0
channel,6,0,64,18,True,True,0.0
channel,6,0,64,19,True,True,0.0
channel,6,0,64,20,True,True,0.0
channel,6,0,64,21,True,True,0.0
channel,6,0,64,22,True,True,0.0
channel,6,0,64,23,True,True,0.0
channel,6,0,64,24,True,True,0.0
channel,6,0,64,25,True,True,0.0
channel,6,0,64,26,True,True,0.0
channel,6,0,64,27,True,True,0.0
channel,6,0,64,28,True,True,0.0
channel,6,0,64,29,True,True,0.0
channel,6,0,256,0,True,True,0.0
channel,6,0,256,1,True,True,0.0
channel,6,0,256,2,True,True,0.0
channel,6,0,256,3,True,True,0.0
channel,6,0,256,4,True,True,0.0
channel,6,0,256,5,True,True,0.0
channel,6,0,256,6,True,True,0.0
channel,6,0,256,7,True,True,0.0
channel,6,0,256,8,True,True,0.0
channel,6,0,256,9,True,True,0.0
channel,6,0,256,10,True,True,0.0
channel,6,0,256,11,True,True,0.0
channel,6,0,256,12,True,True,0.0
channel,6,0,256,13,True,True,0.0
channel,6,0,256,14,True,True,0.0
channel,6,0,256,15,True,True,0.0
channel,6,0,256,16,True,True,0.0
channel,6,0,256,17,True,True,0.0
channel,6,0,256,18,True,True,0.0
channel,6,0,256,19,True,True,0.0
channel,6,0,256,20,True,True,0.0
channel,6,0,256,21,True,True,0.0
channel,6,0,256,22,True,True,0.0
channel,6,0,256,23,True,True,0.0
channel,6,0,256,24,True,True,0.0
channel,6,0,256,25,True,True,0.0
channel,6,0,256,26,True,True,0.0
channel,6,0,256,27,True,True,0.0
channel,6,0,256,28,True,True,0.0
channel,6,0,256,29,True,True,0.0
channel,6,0,1024,0,True,True,0.0
channel,6,0,1024,1,True,True,0.0
channel,6,0,1024,2,True,True,0.0
channel,6,0,1024,3,True,True,0.0
channel,6,0,1024,4,True,True,0.0
channel,6,0,1024,5,True,True,0.0
channel,6,0,1024,6,True,True,0.0
channel,6,0,1024,7,True,True,0.0
channel,6,0,1024,8,True,True,0.0
channel,6,0,1024,9,True,True,0.0
channel,6,0,1024,10,True,True,0.0
channel,6,0,1024,11,True,True,0.0
channel,6,0,1024,12,True,True,0.0
channel,6,0,1024,13,True,True,0.0
channel,6,0,1024,14,True,True,0.0
channel,6,0,1024,15,True,True,0.0
channel,6,0,1024,16,True,True,0.0
channel,6,0,1024,17,True,True,0.0
channel,6,0,1024,18,True,True,0.0
channel,6,0,1024,19,True,True,0.0
channel,6,0,1024,20,True,True,0.0
channel,6,0,1024,21,True,True,0.0
channel,6,0,1024,22,True,True,0.0
channel,6,0,1024,23,True,True,0.0
channel,6,0,1024,24,True,True,0.0
channel,6,0,1024,25,True,True,0.0
channel,6,0,1024,26,True,True,0.0
channel,6,0,1024,27,True,True,0.0
channel,6,0,1024,28,True,True,0.0
channel,6,0,1024,29,True,True,0.0
channel,6,1,64,0,True,True,0.0
channel,6,1,64,1,True,True,0.0
channel,6,1,64,2,True,True,0.0
channel,6,1,64,3,True,True,0.0
channel,6,1,64,4,True,True,0.0
channel,6,1,64,5,True,True,0.0
channel,6,1,64,6,True,True,0.0
channel,6,1,64,7,True,True,0.0
channel,6,1,64,8,True,True,0.0
