task,size_label,n_vars,seed,mixer,depth_p,expected_normalized_cost,optimum_probability,hit_probability_1024,optimizer_calls,optimizer_s
channel,6,6,0,standard_X,1,0.1515140203078873,0.0807262366918252,1.0,311,0.006932042073458433
channel,6,6,0,standard_X,2,0.1012631314698677,0.1362292139575589,1.0,1347,0.050857124966569245
channel,6,6,0,standard_X,3,0.0716206742162965,0.20794867427909414,1.0,2199,0.11438241694122553
channel,6,6,1,standard_X,1,0.14552765231769405,0.12055191243979417,1.0,301,0.006518332986161113
channel,6,6,1,standard_X,2,0.08962899323233173,0.20445394708330047,1.0,1243,0.04685945902019739
channel,6,6,1,standard_X,3,0.06919451409508018,0.24782930119888724,1.0,2705,0.14136741706170142
channel,6,6,2,standard_X,1,0.18984009965699594,0.14784727905654876,1.0,285,0.006518666981719434
channel,6,6,2,standard_X,2,0.12395123489092547,0.26425397202225215,1.0,1648,0.06570383301004767
channel,6,6,2,standard_X,3,0.10833016335229448,0.29632984469895324,1.0,2705,0.14883791597094387
channel,6,6,3,standard_X,1,0.16490243350757527,0.1062475807792441,1.0,257,0.005874958005733788
channel,6,6,3,standard_X,2,0.12136039743456903,0.18624365835893128,1.0,1702,0.06613037502393126
channel,6,6,3,standard_X,3,0.08222770371237553,0.2875458171402007,1.0,2293,0.12505108409095556
channel,6,6,4,standard_X,1,0.15085716644374902,0.09677746147348879,1.0,282,0.0064515830017626286
channel,6,6,4,standard_X,2,0.10650821443495742,0.1560501599033419,1.0,1529,0.05946625000797212
channel,6,6,4,standard_X,3,0.0908495454611539,0.2026065734231383,1.0,2621,0.14223391597624868
channel,6,6,5,standard_X,1,0.14437928643471087,0.10568174522428185,1.0,317,0.0073206250090152025
channel,6,6,5,standard_X,2,0.10896759976281262,0.16817401227015172,1.0,1575,0.0629102080129087
channel,6,6,5,standard_X,3,0.08979854258875947,0.2336267304773214,1.0,2705,0.14627979102078825
channel,9,9,0,standard_X,1,0.19934420786753554,0.037130763197611986,1.0,329,0.014591125072911382
channel,9,9,0,standard_X,2,0.13077687415242192,0.12407091304251505,1.0,1171,0.09025079198181629
channel,9,9,0,standard_X,3,0.09540151551893938,0.2205267660142137,1.0,2237,0.24331829196307808
channel,9,9,1,standard_X,1,0.18696925458368038,0.033965488434510985,0.9999999999999996,324,0.013560624909587204
channel,9,9,1,standard_X,2,0.12814410690792402,0.10272748294057575,1.0,1358,0.1033717499813065
channel,9,9,1,standard_X,3,0.09938919438453572,0.15647111382057893,1.0,2400,0.2605035419110209
channel,9,9,2,standard_X,1,0.199211347947302,0.03237828548082378,0.9999999999999977,289,0.012600208981893957
channel,9,9,2,standard_X,2,0.12493974792184051,0.09622265287230629,1.0,1487,0.125363958068192
channel,9,9,2,standard_X,3,0.0910588499866469,0.14300999956861243,1.0,2705,0.2932382500730455
channel,9,9,3,standard_X,1,0.2346066261575977,0.04369234720364079,1.0,344,0.014359625056385994
channel,9,9,3,standard_X,2,0.1563726818318087,0.19863969852889146,1.0,1509,0.11411404109094292
