task,size_label,seed,algorithm,queue_s,delay_s,deadline_miss,utility
channel,6,0,qaoa,0.135999999999996,8.289399999999995,True,-2.3384263670410705
channel,6,0,qaoa,0.20899999999999802,8.362399999999997,True,-2.3414066943016683
channel,6,0,qaoa,0.24399999999999603,8.397399999999996,True,-2.3428356183307217
channel,6,0,qaoa,0.27665999999999735,8.430059999999997,True,-2.344169008581833
channel,6,0,qaoa,0.304999999999998,8.458399999999997,True,-2.345326028781358
channel,6,0,qaoa,0.339999999999996,8.493399999999996,True,-2.346754952810412
channel,6,0,qaoa,0.375,8.5284,True,-2.3481838768394656
channel,6,0,qaoa,0.40953999999999713,8.562939999999998,True,-2.3495940207241377
channel,6,0,qaoa,0.430999999999998,8.584399999999997,True,-2.3504701552859517
channel,6,0,qaoa,0.439999999999998,8.593399999999997,True,-2.3508375928934226
channel,6,0,qaoa,0.490999999999998,8.644399999999997,True,-2.352919739335758
channel,6,0,qaoa,0.6784199999999982,8.831819999999997,True,-2.3605714233793362
channel,6,0,qaoa,1.962999999999996,10.116399999999995,True,-2.413016201357672
channel,6,0,qaoa,3.8434,11.9968,True,-2.489786165478601
channel,6,0,qaoa,5.347399999999997,13.500799999999996,True,-2.551189072327079
channel,6,0,qaoa,5.855999999999994,14.009399999999992,True,-2.57195337978927
channel,6,0,qaoa,6.1309999999999985,14.284399999999998,True,-2.5831806400175488
channel,6,0,qaoa,6.987819999999996,15.141219999999995,True,-2.6181615167767993
channel,6,0,qaoa,8.000759999999998,16.154159999999997,True,-2.6595162112336457
channel,6,0,qaoa,12.341100000000006,20.494500000000006,True,-2.8367166718125834
channel,6,0,qaoa,13.304399999999998,21.4578,True,-2.8760447437322227
channel,6,0,qaoa,13.90162,22.05502,True,-2.900427086835978
channel,6,0,qaoa,15.222199999999988,23.375599999999988,True,-2.9543416152441972
channel,6,0,qaoa,18.379039999999993,26.532439999999994,True,-3.0832240304407055
channel,6,0,qaoa,22.835399999999996,30.988799999999998,True,-3.2651611700439513
channel,6,0,qaoa,26.961999999999996,35.115399999999994,True,-3.433635395709462
channel,6,0,qaoa,32.792440000000006,40.945840000000004,True,-3.6716712761653385
channel,6,0,qaoa,36.70302,44.85642,True,-3.8313261827235294
channel,6,0,qaoa,39.79948,47.95288,True,-3.9577434998379157
channel,6,0,qaoa,43.874579999999995,52.02797999999999,True,-4.124115165860676
channel,6,0,qaoa,48.43859999999999,56.591999999999985,True,-4.31044767577729
channel,6,0,qaoa,56.573319999999974,64.72671999999997,True,-4.6425590151379605
channel,6,0,qaoa,60.897079999999995,69.05048,True,-4.819082573991135
channel,6,0,qaoa,67.98,76.13340000000001,True,-5.108252704958701
channel,6,0,qaoa,78.23212000000001,86.38552000000001,True,-5.526809865437036
channel,6,0,qaoa,84.26360000000003,92.41700000000003,True,-5.773053485515797
channel,6,0,qaoa,96.56627999999998,104.71967999999998,True,-6.275327630480309
channel,6,0,qaoa,111.79625999999999,119.94966,True,-6.897112898594789
channel,6,0,qaoa,130.88152,139.03492,True,-7.676295373301555
channel,6,0,qaoa,150.539,158.6924,True,-8.478839531091323
channel,6,0,qaoa,170.9178000000002,179.0712000000002,True,-9.310832588327871
channel,6,0,qaoa,186.811,194.9644,True,-9.959694742000885
channel,6,0,qaoa,208.04779999999997,216.20119999999997,True,-10.826716851149653
