task,staleness_multiplier,paired_instances,mean_qaoa_minus_local_utility,qaoa_win_rate
channel,0.0,120,-2.0,0.0
placement,0.0,120,-1.9972551125199798,0.0
routing,0.0,120,-1.9583333333333333,0.008333333333333333
channel,0.5,120,-2.207542827965924,0.0
placement,0.5,120,-2.282475340425702,0.0
routing,0.5,120,-2.3424673065299833,0.008333333333333333
channel,1.0,120,-2.4150856559318474,0.0
placement,1.0,120,-2.567695568331424,0.0
routing,1.0,120,-2.726601279726633,0.008333333333333333
channel,2.0,120,-2.8301713118636944,0.0
placement,2.0,120,-3.1381360241428693,0.0
routing,2.0,120,-3.4948692261199326,0.008333333333333333
channel,5.0,120,-4.075428279659237,0.0
placement,5.0,120,-4.849457391577203,0.0
routing,5.0,120,-5.799673065299831,0.0
