profile,shots,queue_s,deadline_q10_s,max_rounds_for_90pct_ontime
optimistic,64,0.0,0.1612264333386696,51
optimistic,64,0.01,0.1612264333386696,48
optimistic,64,0.05,0.1612264333386696,35
optimistic,64,0.1,0.1612264333386696,19
optimistic,64,0.5,0.1612264333386696,0
optimistic,256,0.0,0.1612264333386696,31
optimistic,256,0.01,0.1612264333386696,29
optimistic,256,0.05,0.1612264333386696,21
optimistic,256,0.1,0.1612264333386696,12
optimistic,256,0.5,0.1612264333386696,0
optimistic,1024,0.0,0.1612264333386696,12
optimistic,1024,0.01,0.1612264333386696,11
optimistic,1024,0.05,0.1612264333386696,8
optimistic,1024,0.1,0.1612264333386696,4
optimistic,1024,0.5,0.1612264333386696,0
nominal,64,0.0,0.1612264333386696,5
nominal,64,0.01,0.1612264333386696,5
nominal,64,0.05,0.1612264333386696,3
nominal,64,0.1,0.1612264333386696,2
nominal,64,0.5,0.1612264333386696,0
nominal,256,0.0,0.1612264333386696,4
nominal,256,0.01,0.1612264333386696,4
nominal,256,0.05,0.1612264333386696,2
nominal,256,0.1,0.1612264333386696,1
nominal,256,0.5,0.1612264333386696,0
nominal,1024,0.0,0.1612264333386696,2
nominal,1024,0.01,0.1612264333386696,1
nominal,1024,0.05,0.1612264333386696,1
nominal,1024,0.1,0.1612264333386696,0
nominal,1024,0.5,0.1612264333386696,0
stressed,64,0.0,0.1612264333386696,1
stressed,64,0.01,0.1612264333386696,1
stressed,64,0.05,0.1612264333386696,0
stressed,64,0.1,0.1612264333386696,0
stressed,64,0.5,0.1612264333386696,0
stressed,256,0.0,0.1612264333386696,0
stressed,256,0.01,0.1612264333386696,0
stressed,256,0.05,0.1612264333386696,0
stressed,256,0.1,0.1612264333386696,0
stressed,256,0.5,0.1612264333386696,0
stressed,1024,0.0,0.1612264333386696,0
stressed,1024,0.01,0.1612264333386696,0
stressed,1024,0.05,0.1612264333386696,0
stressed,1024,0.1,0.1612264333386696,0
stressed,1024,0.5,0.1612264333386696,0
