task,size_label,seed,aggregation,optimum_probability,hit_probability_1024,expected_normalized_cost
channel,6,15,circular_mean,0.10974946034692676,1.0,0.17289631521985593
channel,6,15,component_circular_median,0.10945526728017964,1.0,0.17299493514541575
channel,6,15,observed_circular_medoid,0.10889690638278349,1.0,0.17328609451733898
channel,6,16,circular_mean,0.12365020649119295,1.0,0.18047804686727986
channel,6,16,component_circular_median,0.12322869317201797,1.0,0.1806899480184212
channel,6,16,observed_circular_medoid,0.1222704320180988,1.0,0.1811963815439966
channel,6,17,circular_mean,0.09724054951575092,1.0,0.15373943489799619
channel,6,17,component_circular_median,0.09709376736164917,1.0,0.1534947577089082
channel,6,17,observed_circular_medoid,0.09663602508871404,1.0,0.15331024047035746
channel,6,18,circular_mean,0.12759130782428404,1.0,0.1833106495629777
channel,6,18,component_circular_median,0.127166872231299,1.0,0.18340508271916425
channel,6,18,observed_circular_medoid,0.1260904880910253,1.0,0.18368109026243648
channel,6,19,circular_mean,0.08848986626188816,1.0,0.1713922546418028
channel,6,19,component_circular_median,0.08799331507968149,1.0,0.17147886725870226
channel,6,19,observed_circular_medoid,0.0875543735246029,1.0,0.1714679965743598
channel,6,20,circular_mean,0.09828589010172374,1.0,0.1399512309059185
channel,6,20,component_circular_median,0.09815666514051456,1.0,0.13981242890734913
channel,6,20,observed_circular_medoid,0.09765129112293067,1.0,0.1399049801476544
channel,6,21,circular_mean,0.1304578806443875,1.0,0.1881675348539587
channel,6,21,component_circular_median,0.1299725349490453,1.0,0.18840053126491912
channel,6,21,observed_circular_medoid,0.12895623060753864,1.0,0.18875863944681381
channel,6,22,circular_mean,0.08781800762678438,1.0,0.16839562152370668
channel,6,22,component_circular_median,0.08738442795653986,1.0,0.16838668909783533
channel,6,22,observed_circular_medoid,0.08702282881521618,1.0,0.1686198286394131
channel,6,23,circular_mean,0.08913019486100127,1.0,0.15578517661569014
channel,6,23,component_circular_median,0.088752663130962,1.0,0.15592354143525064
channel,6,23,observed_circular_medoid,0.08851196509826256,1.0,0.15602278792001284
channel,6,24,circular_mean,0.10371504276969908,1.0,0.17703091900782908
channel,6,24,component_circular_median,0.10322818438591722,1.0,0.17703460493283607
channel,6,24,observed_circular_medoid,0.10252839244773398,1.0,0.17727446905919103
channel,6,25,circular_mean,0.11662238187434831,1.0,0.1737301739036986
