task,algorithm,profile,mean_utility,deadline_miss_rate,mean_delay_s,optimal_rate,feasible_rate
channel,annealing,local,-0.00293214299760817,0.0,0.0011503975411566115,0.9666666666666667,1.0
channel,exact,local,-2.2755329520571033e-07,0.0,4.716762729610006e-06,1.0,1.0
channel,local_search,local,-6.610320063281764e-06,0.0,0.00013784620289996805,1.0,1.0
channel,mean_field,local,-0.015882648743006246,0.0,0.004529792332323218,0.8916666666666667,1.0
channel,qaoa,nominal,-2.415092266251911,1.0,8.637525000000002,1.0,1.0
channel,qaoa,optimistic,-2.0658682741567715,1.0,1.3705258333333334,1.0,1.0
channel,qaoa,stressed,-3.9069816242493314,1.0,39.68593333333333,1.0,1.0
channel,random,local,-0.11041821605682059,0.0,9.71039504899333e-06,0.65,1.0
placement,annealing,local,-0.03668952567733176,0.0,0.0011080992718537142,0.85,1.0
placement,exact,local,-3.4518127763727424e-07,0.0,5.07501633061717e-06,1.0,1.0
placement,local_search,local,-0.006169516119325927,0.0,0.00012527187645896786,0.9916666666666667,1.0
placement,mean_field,local,-0.07471703543895837,0.0,0.004357740997996446,0.7333333333333333,1.0
placement,qaoa,nominal,-2.573865084450751,1.0,8.436865000000001,0.975,1.0
placement,qaoa,optimistic,-2.093819771862781,1.0,1.3369771666666668,0.975,1.0
placement,qaoa,stressed,-4.628692396177447,1.0,38.830626666666674,0.975,1.0
placement,random,local,-0.5379140856630877,0.0,8.746870056105157e-06,0.5166666666666667,0.9666666666666667
routing,annealing,local,-0.05330202581815671,0.0,0.0010802930725427459,0.875,0.9916666666666667
routing,exact,local,-7.650726789867356e-07,0.0,7.599304080940141e-06,1.0,1.0
routing,local_search,local,-0.04167986734674075,0.0,0.00014139409856090755,0.9916666666666667,0.9916666666666667
routing,mean_field,local,-0.3151144452611764,0.0,0.0043537110895461245,0.75,0.9416666666666667
routing,qaoa,nominal,-2.768281147073374,1.0,8.533385,1.0,1.0
routing,qaoa,optimistic,-2.12181520087887,1.0,1.3531145000000002,1.0,1.0
routing,qaoa,stressed,-5.533403885655945,1.0,39.24204,1.0,1.0
routing,random,local,-1.4567215210203988,0.0,9.409760241396726e-06,0.5416666666666666,0.7833333333333333
