task,size_label,n_vars,seed,algorithm,profile,shots,cost,optimum,feasible,runtime_s,evals,deadline_s,volatility,success_prob,gamma,beta,delay_s,gap,staleness_loss,deadline_miss,utility,timing_evidence
channel,6,6,15,qaoa_transfer,optimistic,16,1.5739490431701018,1.5739490431701018,True,4.1624996811151505e-05,1,0.2338871130567523,0.0247375817279673,0.10974946034692676,3.665177284107002,1.2656995908155886,0.012660000000000001,0.0,0.000313177784676066,False,-0.000313177784676066,modeled_qpu
channel,6,6,15,qaoa_transfer,nominal,16,1.5739490431701018,1.5739490431701018,True,4.1624996811151505e-05,1,0.2338871130567523,0.0247375817279673,0.10974946034692676,3.665177284107002,1.2656995908155886,0.5258,0.0,0.013007020472565207,True,-2.0130070204725654,modeled_qpu
channel,6,6,15,qaoa_transfer,stressed,16,1.5739490431701018,1.5739490431701018,True,4.1624996811151505e-05,1,0.2338871130567523,0.0247375817279673,0.10974946034692676,3.665177284107002,1.2656995908155886,5.1232,0.0,0.12673557870872207,True,-2.126735578708722,modeled_qpu
channel,6,6,15,qaoa_transfer,optimistic,64,1.5739490431701018,1.5739490431701018,True,4.1624996811151505e-05,1,0.2338871130567523,0.0247375817279673,0.10974946034692676,3.665177284107002,1.2656995908155886,0.01314,0.0,0.0003250518239054903,False,-0.0003250518239054903,modeled_qpu
channel,6,6,15,qaoa_transfer,nominal,64,1.5739490431701018,1.5739490431701018,True,4.1624996811151505e-05,1,0.2338871130567523,0.0247375817279673,0.10974946034692676,3.665177284107002,1.2656995908155886,0.5282,0.0,0.013066390668712327,True,-2.0130663906687123,modeled_qpu
channel,6,6,15,qaoa_transfer,stressed,64,1.5739490431701018,1.5739490431701018,True,4.1624996811151505e-05,1,0.2338871130567523,0.0247375817279673,0.10974946034692676,3.665177284107002,1.2656995908155886,5.1328,0.0,0.12697305949331053,True,-2.1269730594933107,modeled_qpu
channel,6,6,15,qaoa_transfer,optimistic,256,1.5739490431701018,1.5739490431701018,True,4.1624996811151505e-05,1,0.2338871130567523,0.0247375817279673,0.10974946034692676,3.665177284107002,1.2656995908155886,0.01506,0.0,0.0003725479808231875,False,-0.0003725479808231875,modeled_qpu
channel,6,6,15,qaoa_transfer,nominal,256,1.5739490431701018,1.5739490431701018,True,4.1624996811151505e-05,1,0.2338871130567523,0.0247375817279673,0.10974946034692676,3.665177284107002,1.2656995908155886,0.5378000000000001,0.0,0.013303871453300815,True,-2.0133038714533007,modeled_qpu
channel,6,6,15,qaoa_transfer,stressed,256,1.5739490431701018,1.5739490431701018,True,4.1624996811151505e-05,1,0.2338871130567523,0.0247375817279673,0.10974946034692676,3.665177284107002,1.2656995908155886,5.1712,0.0,0.1279229826316645,True,-2.1279229826316644,modeled_qpu
channel,6,6,15,qaoa_transfer,optimistic,1024,1.5739490431701018,1.5739490431701018,True,4.1624996811151505e-05,1,0.2338871130567523,0.0247375817279673,0.10974946034692676,3.665177284107002,1.2656995908155886,0.022740000000000003,0.0,0.0005625326084939765,False,-0.0005625326084939765,modeled_qpu
channel,6,6,15,qaoa_transfer,nominal,1024,1.5739490431701018,1.5739490431701018,True,4.1624996811151505e-05,1,0.2338871130567523,0.0247375817279673,0.10974946034692676,3.665177284107002,1.2656995908155886,0.5762,0.0,0.014253794591654758,True,-2.0142537945916548,modeled_qpu
channel,6,6,15,qaoa_transfer,stressed,1024,1.5739490431701018,1.5739490431701018,True,4.1624996811151505e-05,1,0.2338871130567523,0.0247375817279673,0.10974946034692676,3.665177284107002,1.2656995908155886,5.3248,0.0,0.13172267518508027,True,-2.13172267518508,modeled_qpu
channel,6,6,16,qaoa_transfer,optimistic,16,3.157297787566354,2.744888058863449,True,2.6084017008543015e-05,1,0.4453532206893916,0.01984985579331936,0.12365020649119295,3.665177284107002,1.2656995908155886,0.012660000000000001,0.11012604975649627,0.00025129917434342313,False,-0.1103773489308397,modeled_qpu
channel,6,6,16,qaoa_transfer,nominal,16,3.157297787566354,2.744888058863449,True,2.6084017008543015e-05,1,0.4453532206893916,0.01984985579331936,0.12365020649119295,3.665177284107002,1.2656995908155886,0.5258,0.11012604975649627,0.01043705417612732,True,-2.1205631039326236,modeled_qpu
channel,6,6,16,qaoa_transfer,stressed,16,3.157297787566354,2.744888058863449,True,2.6084017008543015e-05,1,0.4453532206893916,0.01984985579331936,0.12365020649119295,3.665177284107002,1.2656995908155886,5.1232,0.11012604975649627,0.10169478120033375,True,-2.21182083095683,modeled_qpu
channel,6,6,16,qaoa_transfer,optimistic,64,2.744888058863449,2.744888058863449,True,2.6084017008543015e-05,1,0.4453532206893916,0.01984985579331936,0.12365020649119295,3.665177284107002,1.2656995908155886,0.01314,0.0,0.0002608271051242164,False,-0.0002608271051242164,modeled_qpu
channel,6,6,16,qaoa_transfer,nominal,64,2.744888058863449,2.744888058863449,True,2.6084017008543015e-05,1,0.4453532206893916,0.01984985579331936,0.12365020649119295,3.665177284107002,1.2656995908155886,0.5282,0.0,0.010484693830031287,True,-2.010484693830031,modeled_qpu
channel,6,6,16,qaoa_transfer,stressed,64,2.744888058863449,2.744888058863449,True,2.6084017008543015e-05,1,0.4453532206893916,0.01984985579331936,0.12365020649119295,3.665177284107002,1.2656995908155886,5.1328,0.0,0.1018853398159496,True,-2.10188533981595,modeled_qpu
channel,6,6,16,qaoa_transfer,optimistic,256,2.744888058863449,2.744888058863449,True,2.6084017008543015e-05,1,0.4453532206893916,0.01984985579331936,0.12365020649119295,3.665177284107002,1.2656995908155886,0.01506,0.0,0.00029893882824738957,False,-0.00029893882824738957,modeled_qpu
channel,6,6,16,qaoa_transfer,nominal,256,2.744888058863449,2.744888058863449,True,2.6084017008543015e-05,1,0.4453532206893916,0.01984985579331936,0.12365020649119295,3.665177284107002,1.2656995908155886,0.5378000000000001,0.0,0.010675252445647154,True,-2.010675252445647,modeled_qpu
channel,6,6,16,qaoa_transfer,stressed,256,2.744888058863449,2.744888058863449,True,2.6084017008543015e-05,1,0.4453532206893916,0.01984985579331936,0.12365020649119295,3.665177284107002,1.2656995908155886,5.1712,0.0,0.10264757427841308,True,-2.102647574278413,modeled_qpu
channel,6,6,16,qaoa_transfer,optimistic,1024,2.744888058863449,2.744888058863449,True,2.6084017008543015e-05,1,0.4453532206893916,0.01984985579331936,0.12365020649119295,3.665177284107002,1.2656995908155886,0.022740000000000003,0.0,0.00045138572074008236,False,-0.00045138572074008236,modeled_qpu
channel,6,6,16,qaoa_transfer,nominal,1024,2.744888058863449,2.744888058863449,True,2.6084017008543015e-05,1,0.4453532206893916,0.01984985579331936,0.12365020649119295,3.665177284107002,1.2656995908155886,0.5762,0.0,0.011437486908110616,True,-2.0114374869081106,modeled_qpu
channel,6,6,16,qaoa_transfer,stressed,1024,2.744888058863449,2.744888058863449,True,2.6084017008543015e-05,1,0.4453532206893916,0.01984985579331936,0.12365020649119295,3.665177284107002,1.2656995908155886,5.3248,0.0,0.10569651212826693,True,-2.105696512128267,modeled_qpu
channel,6,6,17,qaoa_transfer,optimistic,16,3.324205311790928,3.324205311790928,True,2.320797648280859e-05,1,0.36469492589427205,0.05152941670352942,0.09724054951575092,3.665177284107002,1.2656995908155886,0.012660000000000001,0.0,0.0006523624154666825,False,-0.0006523624154666825,modeled_qpu
channel,6,6,17,qaoa_transfer,nominal,16,3.324205311790928,3.324205311790928,True,2.320797648280859e-05,1,0.36469492589427205,0.05152941670352942,0.09724054951575092,3.665177284107002,1.2656995908155886,0.5258,0.0,0.027094167302715768,True,-2.0270941673027156,modeled_qpu
channel,6,6,17,qaoa_transfer,stressed,16,3.324205311790928,3.324205311790928,True,2.320797648280859e-05,1,0.36469492589427205,0.05152941670352942,0.09724054951575092,3.665177284107002,1.2656995908155886,5.1232,0.0,0.2639955076555219,True,-2.263995507655522,modeled_qpu
channel,6,6,17,qaoa_transfer,optimistic,64,3.324205311790928,3.324205311790928,True,2.320797648280859e-05,1,0.36469492589427205,0.05152941670352942,0.09724054951575092,3.665177284107002,1.2656995908155886,0.01314,0.0,0.0006770965354843765,False,-0.0006770965354843765,modeled_qpu
channel,6,6,17,qaoa_transfer,nominal,64,3.324205311790928,3.324205311790928,True,2.320797648280859e-05,1,0.36469492589427205,0.05152941670352942,0.09724054951575092,3.665177284107002,1.2656995908155886,0.5282,0.0,0.02721783790280424,True,-2.0272178379028043,modeled_qpu
channel,6,6,17,qaoa_transfer,stressed,64,3.324205311790928,3.324205311790928,True,2.320797648280859e-05,1,0.36469492589427205,0.05152941670352942,0.09724054951575092,3.665177284107002,1.2656995908155886,5.1328,0.0,0.26449019005587576,True,-2.264490190055876,modeled_qpu
