shots,profile,feasible_rate,optimal_rate,deadline_miss_rate,mean_utility,mean_delay_s
16,nominal,0.7555555555555555,0.2611111111111111,0.6722222222222223,-3.963799655011152,0.5258
16,optimistic,0.7555555555555555,0.2611111111111111,0.0,-2.5851089463753647,0.01266
16,stressed,0.7555555555555555,0.2611111111111111,1.0,-4.926179420320929,5.1232
64,nominal,0.9166666666666666,0.46111111111111114,0.6722222222222223,-2.1441331499421645,0.5282
64,optimistic,0.9166666666666666,0.46111111111111114,0.0,-0.7653143031233326,0.01314
64,stressed,0.9166666666666666,0.46111111111111114,1.0,-3.1069934334383573,5.1328
256,nominal,0.9777777777777777,0.6611111111111111,0.6888888888888889,-1.6131357812275982,0.5378000000000001
256,optimistic,0.9777777777777777,0.6611111111111111,0.0,-0.2004710483432554,0.015059999999999999
256,stressed,0.9777777777777777,0.6611111111111111,1.0,-2.5445848041361225,5.1712
1024,nominal,1.0,0.9,0.7166666666666667,-1.4899047884877206,0.5762
1024,optimistic,1.0,0.9,0.0,-0.019634289119112594,0.022740000000000003
1024,stressed,1.0,0.9,1.0,-2.373486546823351,5.3248
