task,n_vars,seed,backend_snapshot,shots,selected_cost,optimum,optimal_return,selected_feasible,observed_optimum_frequency,ideal_optimum_probability,compiled_cx,compiled_depth,build_instance_s,fit_statevector_s,build_circuit_s,transpile_s,noisy_sample_s,postprocess_s,local_pipeline_s,evidence
channel,6,0,fake_guadalupe,1024,2.1535466960477896,2.1535466960477896,True,True,0.0595703125,0.10429449682911218,97,164,0.00012212502770125866,0.0023048330331221223,0.00013379205483943224,0.02290837501641363,0.03384920803364366,0.0001284580212086439,0.05944679118692875,archived-calibration noisy emulation
channel,6,1,fake_guadalupe,1024,2.16797342704271,2.16797342704271,True,True,0.056640625,0.13482800808717835,97,165,0.00011341692879796028,0.002834749990142882,0.00022254197392612696,0.010539499926380813,0.032458042027428746,0.00011633301619440317,0.04628458386287093,archived-calibration noisy emulation
channel,6,2,fake_guadalupe,1024,0.0,0.0,True,True,0.125,0.20986142836634508,65,121,9.962508920580149e-05,0.0023074159398674965,0.0001539579825475812,0.007682875031605363,0.028244332992471755,0.00011033297050744295,0.03859854000620544,archived-calibration noisy emulation
channel,6,3,fake_guadalupe,1024,1.0966135162481796,1.0966135162481796,True,True,0.06640625,0.11129711348003143,97,166,0.00010579102672636509,0.002270666998811066,0.00016716693062335253,0.009751333040185273,0.03203429200220853,0.00011004204861819744,0.044439292047172785,archived-calibration noisy emulation
channel,6,4,fake_guadalupe,1024,1.2522044419063383,1.2522044419063383,True,True,0.0732421875,0.17460650354789042,81,143,0.00010308402124792337,0.00244908407330513,0.00014949997421354055,0.008620542008429766,0.029677000013180077,0.000120542012155056,0.04111975210253149,archived-calibration noisy emulation
placement,6,0,fake_guadalupe,1024,2.1278822532140333,2.1278822532140333,True,True,0.0322265625,0.06280406701560193,97,185,0.00016324990428984165,0.0022956669563427567,0.00015854090452194214,0.009607415995560586,0.03165749995969236,0.00010962493252009153,0.04399199865292758,archived-calibration noisy emulation
placement,6,1,fake_guadalupe,1024,2.0281054782169017,2.0281054782169017,True,True,0.03515625,0.05116966485165323,97,182,0.0001224579755216837,0.002164249890483916,0.00014570809435099363,0.012781708035618067,0.031175874988548458,0.00010991690214723349,0.04649991588667035,archived-calibration noisy emulation
placement,6,2,fake_guadalupe,1024,1.3288142453632397,1.3288142453632397,True,True,0.0234375,0.04661949634798126,97,186,0.00012720900122076273,0.002230791957117617,0.00015341700054705143,0.009357832954265177,0.03165337489917874,0.00011829205323010683,0.04364091786555946,archived-calibration noisy emulation
placement,6,3,fake_guadalupe,1024,2.77234823415323,2.77234823415323,True,True,0.03515625,0.05795348468850172,97,185,0.00013291696086525917,0.002282207948155701,0.0001646250020712614,0.009290250018239021,0.031149124959483743,0.0001152500044554472,0.04313437489327043,archived-calibration noisy emulation
placement,6,4,fake_guadalupe,1024,0.6291446208589281,0.6291446208589281,True,True,0.037109375,0.062469595021893295,97,186,0.0001242499565705657,0.0022987499833106995,0.0001573750050738454,0.00860862503759563,0.031263291952200234,0.00011529098264873028,0.042567582917399704,archived-calibration noisy emulation
routing,6,0,fake_guadalupe,1024,4.218119407948611,4.218119407948611,True,True,0.0322265625,0.0437551931151031,97,185,0.0001235000090673566,0.00310195900965482,0.00019950000569224358,0.009116625064052641,0.03147012507542968,0.00011545908637344837,0.04412716825027019,archived-calibration noisy emulation
routing,6,1,fake_guadalupe,1024,3.411689212522993,3.411689212522993,True,True,0.0458984375,0.05083965274298925,64,124,0.00012679200153797865,0.0022055410081520677,0.00015487498603761196,0.007348750019446015,0.02864858298562467,0.0001051250146701932,0.03858966601546854,archived-calibration noisy emulation
routing,6,2,fake_guadalupe,1024,3.3862250114532833,3.3862250114532833,True,True,0.0341796875,0.04834714569013059,64,128,0.00010716589167714119,0.0021504999604076147,0.00014300004113465548,0.006758374976925552,0.028374750050716102,0.00010987499263137579,0.03764366591349244,archived-calibration noisy emulation
routing,6,3,fake_guadalupe,1024,3.835105234609512,3.835105234609512,True,True,0.03515625,0.048556895483895045,58,123,0.00011729099787771702,0.0022541660582646728,0.00015020801220089197,0.007259540958330035,0.02853941696230322,0.00011220795568078756,0.038432830944657326,archived-calibration noisy emulation
routing,6,4,fake_guadalupe,1024,4.547648371190024,4.547648371190024,True,True,0.0224609375,0.04780171736181132,47,106,0.00010970805305987597,0.0025681660044938326,0.0001853749854490161,0.007038792013190687,0.02679650008212775,0.00012133398558944464,0.036819875123910606,archived-calibration noisy emulation
