task,size_label,algorithm,feasible_mass,optimum_mass,optimal_rate,optimizer_s
placement,6,onehot_xy,0.9970952374330692,0.5824138037131943,1.0,0.006425500032491951
placement,6,standard_x,0.43925764116965177,0.059361322133713645,1.0,0.0022108544362708
placement,8,onehot_xy,0.9567338975951521,0.15372105946580145,1.0,0.009106791520025501
placement,8,standard_x,0.3458686288733631,0.02618523400471725,1.0,0.0035953750484622998
placement,9,onehot_xy,0.9931661088862347,0.6048574199670871,1.0,0.01052399992477145
placement,9,standard_x,0.20223060449873662,0.010667709324078541,1.0,0.004592333512846301
placement,12,onehot_xy,0.8909444729086768,0.044699650235864766,1.0,0.0410890830098651
placement,12,standard_x,0.14441295893324574,0.00305572489795618,1.0,0.02104995853733265
routing,6,onehot_xy,0.8330355017632538,0.1574204027696849,1.0,0.00627025001449505
routing,6,standard_x,0.2601791880468228,0.04572340066932253,1.0,0.0021216454915702
routing,8,onehot_xy,0.6735329060675204,0.07348572292894169,1.0,0.0057521455455571
routing,8,standard_x,0.18237978112929093,0.02004302835261009,1.0,0.00327504205051805
routing,9,onehot_xy,0.23915764436207013,0.14156218648197305,0.8,0.0115147705073468
routing,9,standard_x,0.038695535176881554,0.00979993160323263,1.0,0.0044207915198057005
routing,12,onehot_xy,0.23174660200785113,0.02438803357908714,0.8,0.03920275002019475
routing,12,standard_x,0.03074948851927358,0.00388589173706122,1.0,0.0215399164590053
