n_vars,algorithm,instances,optimal_rate,mean_gap,mean_utility
14,annealing,30,0.3333333333333333,0.14417239990619735,-0.1442580584856824
14,exact,30,1.0,0.0,-1.518761136042537e-06
14,local_search,30,1.0,0.0,-1.7063584462622325e-05
14,mean_field,30,0.6333333333333333,0.048719272332554936,-0.05098631771479043
14,qaoa,30,0.9666666666666667,0.0006288930002282533,-2.733673544061807
16,annealing,30,0.2,0.38285182714571697,-1.2162506551861696
16,exact,30,1.0,0.0,-3.586921389235902e-06
16,local_search,30,0.8666666666666667,0.026880366586086238,-0.026894462723643354
16,mean_field,30,0.4666666666666667,0.1075507772343238,-0.7802831493587047
16,qaoa,30,0.5666666666666667,0.14582915042674913,-2.899834436300479
