task,algorithm,instances,feasible_rate,optimal_rate,mean_gap,gap_ci_low,gap_ci_high,median_runtime_s,deadline_miss_rate,mean_utility
channel,annealing,120,1.0,0.9666666666666667,0.0028768489133853973,8.544252542165834e-06,0.00729493405459948,0.0011408539721742,0.0,-0.0029321429976081705
channel,exact,120,1.0,1.0,0.0,0.0,0.0,3.3959513530135155e-06,0.0,-2.2755329520571035e-07
channel,local_search,120,1.0,1.0,0.0,0.0,0.0,0.0001280000433325,0.0,-6.610320063281764e-06
channel,mean_field,120,1.0,0.8916666666666667,0.015663842543952235,0.0038226703731759496,0.03216244071561134,0.00334231246961275,0.0,-0.01588264874300625
channel,qaoa,120,1.0,1.0,0.0,0.0,0.0,0.00410535396076735,1.0,-2.415092266251911
channel,random,120,1.0,0.65,0.11041774497558098,0.06837964433879905,0.15803610351824765,8.916482329368591e-06,0.0,-0.11041821605682059
placement,annealing,120,1.0,0.85,0.03661470973686454,0.018534068378981125,0.05768540652590679,0.00109162501757955,0.0,-0.03668952567733177
placement,exact,120,1.0,1.0,0.0,0.0,0.0,4.041939973831177e-06,0.0,-3.4518127763727424e-07
placement,local_search,120,1.0,0.9916666666666667,0.006161049341266716,0.0,0.018483148023800147,0.0001185414730571,0.0,-0.0061695161193259275
placement,mean_field,120,1.0,0.7333333333333333,0.07442087411300262,0.04580686516289992,0.10579054105165255,0.0031680209795012498,0.0,-0.07471703543895837
placement,qaoa,120,1.0,0.975,0.003416161861246357,0.0,0.00870168135828367,0.00393789599183945,1.0,-2.5738650844507514
placement,random,120,0.9666666666666667,0.5166666666666667,0.5379134983986067,0.2727041149784044,0.8839057762186433,7.395516149699688e-06,0.0,-0.5379140856630878
routing,annealing,120,0.9916666666666667,0.875,0.053204030684706395,0.005498123327233954,0.14279573653939018,0.0010596250649541,0.0,-0.05330202581815671
routing,exact,120,1.0,1.0,0.0,0.0,0.0,3.708468284457922e-06,0.0,-7.650726789867356e-07
routing,local_search,120,0.9916666666666667,0.9916666666666667,0.041666666666666664,0.0,0.125,0.00012197898468,0.0,-0.04167986734674075
routing,mean_field,120,0.9416666666666667,0.75,0.314727140871673,0.13635902804380756,0.5312178223094997,0.0031401250162161,0.0,-0.3151144452611764
routing,qaoa,120,1.0,1.0,0.0,0.0,0.0,0.0041217289399355,1.0,-2.7682811470733735
routing,random,120,0.7833333333333333,0.5416666666666666,1.4567206554673076,0.981790544768352,1.9416142661250282,8.291972335428e-06,0.0,-1.4567215210203988
